sample_idx,target_class,distortion_type,distorted_snr,restored_snr,clean_canny_iou,distorted_canny_iou,restored_canny_iou,clean_grabcut_iou,distorted_grabcut_iou,restored_grabcut_iou,clean_dl_f1,distorted_dl_f1,restored_dl_f1
85,cat,overexposure,0.5849111676216125,7.280656814575195,1.0,0.23851534618129908,0.23830023607832246,0.8608015640273705,3.56493529642437e-05,0.4003628056973932,1.0,1.0,1.0
85,cat,motion_blur,14.772448539733887,13.530230522155762,1.0,0.02745250645629179,0.15258586656138964,0.8608015640273705,0.5924261372518368,0.7064170274497359,1.0,1.0,1.0
88,person,salt_pepper,11.298276901245117,19.222946166992188,1.0,0.18766764250570941,0.22836317999710382,0.3870179267740103,0.6636544831646368,0.3905412305335716,1.0,1.0,1.0
88,person,overexposure,0.4613918662071228,9.54446792602539,1.0,0.30457435535146593,0.30571033744929343,0.3870179267740103,0.6101194085098507,0.5838868831185517,1.0,1.0,1.0
88,person,motion_blur,15.674895286560059,14.254465103149414,1.0,0.05937711225497842,0.1034306382667787,0.3870179267740103,0.6408175087600316,0.6338502130541525,1.0,1.0,1.0
96,pottedplant,salt_pepper,12.581099510192871,19.580604553222656,1.0,0.22879960069877714,0.2833477844202072,0.3168296320848525,0.26686204818024983,0.3182072712943568,1.0,1.0,1.0
96,pottedplant,overexposure,4.446969509124756,6.666217803955078,1.0,0.4356867348650008,0.44215001518372304,0.3168296320848525,0.2994281338980212,0.30395373539478343,1.0,1.0,1.0
96,pottedplant,motion_blur,17.92770767211914,14.127315521240234,1.0,0.23042092131405073,0.14019792648444862,0.3168296320848525,0.38146700390894456,0.38921029209482966,1.0,1.0,1.0
98,cat,salt_pepper,7.399838447570801,14.630064964294434,1.0,0.2702965652634688,0.2784937801187941,0.7203427700233945,0.43129561908710007,0.6616380140459897,0.6666666666666666,0.0,1.0
98,cat,overexposure,-0.4623847007751465,8.283733367919922,1.0,0.5008505715841045,0.48659849848829706,0.7203427700233945,0.6430777422790203,0.8227909096828808,0.6666666666666666,1.0,0.6666666666666666
98,cat,motion_blur,12.898993492126465,10.671814918518066,1.0,0.14923610317369604,0.1801555422613452,0.7203427700233945,0.6181110263717737,0.6725147063170652,0.6666666666666666,0.6666666666666666,0.0
112,cat,salt_pepper,12.982345581054688,29.29631805419922,1.0,0.0675338249811277,0.30317052270779776,0.6604947876147502,0.6097156193275132,0.6488835861598773,1.0,1.0,1.0
112,cat,overexposure,4.438596725463867,5.556299209594727,1.0,0.029606942317508933,0.027939664038395613,0.6604947876147502,0.07181768204308062,0.5751015509601182,1.0,1.0,0.0
112,cat,motion_blur,26.052034378051758,23.549928665161133,1.0,0.1593796711509716,0.1409039118875807,0.6604947876147502,0.581629341123012,0.6204528879164666,1.0,1.0,1.0
115,person,salt_pepper,13.807079315185547,17.43150520324707,1.0,0.32793226381461676,0.1691953865165454,0.0,0.001041124414367517,0.3971405877680699,0.5,0.6666666666666666,0.4
115,person,overexposure,8.75816535949707,5.921430587768555,1.0,0.2777817276928546,0.26287744227353466,0.0,0.26953305594082294,0.4893711248892825,0.5,0.6666666666666666,0.0
115,person,motion_blur,16.41185760498047,13.17354679107666,1.0,0.18929552623545773,0.14515308285980832,0.0,0.0,0.0,0.5,0.4,0.5
118,person,salt_pepper,12.029403686523438,22.543197631835938,1.0,0.16001397779436757,0.23489290415220773,0.7714918582375478,0.6100195880572209,0.7575379125780554,0.6666666666666666,1.0,0.6666666666666666
118,person,overexposure,1.9595916271209717,7.718269348144531,1.0,0.23202004323049716,0.22161511390998334,0.7714918582375478,0.6807520476545048,0.6462717507381117,0.6666666666666666,0.6666666666666666,0.5
118,person,motion_blur,19.78683090209961,17.919967651367188,1.0,0.07178609896724324,0.1293653607516398,0.7714918582375478,0.2539016539016539,0.5324932913312332,0.6666666666666666,0.6666666666666666,0.6666666666666666
