target_class,distortion_type,sample_idx,distorted_snr,restored_snr,clean_canny_iou,clean_grabcut_iou,clean_dl_f1,distorted_canny_iou,distorted_grabcut_iou,distorted_dl_f1,restored_canny_iou,restored_grabcut_iou,restored_dl_f1
dog,salt_pepper,99.33333333333333,9.228537877400717,20.480143229166668,1.0,0.7993813053203072,0.8888888888888888,0.14821204732773705,0.5484508215752214,0.8888888888888888,0.22629335445203078,0.8822501138982215,0.8888888888888888
horse,motion_blur,169.0,17.492857933044434,18.646013259887695,1.0,0.733554594226229,0.8333333333333333,0.1714101689571866,0.673954334711036,0.3333333333333333,0.23567449254386486,0.6964510056695562,0.3333333333333333
horse,overexposure,169.0,7.319470643997192,10.834844589233398,1.0,0.733554594226229,0.8333333333333333,0.5242783143749683,0.669055275945758,0.8333333333333333,0.5752339609518289,0.4770772531359323,1.0
horse,salt_pepper,169.0,11.226865768432617,19.51754093170166,1.0,0.733554594226229,0.8333333333333333,0.24244648870601587,0.4945540992031383,0.5,0.26561006500082496,0.7320430199162484,1.0
motorbike,motion_blur,193.0,13.709457397460938,14.826774597167969,1.0,0.5420658834681924,0.6666666666666666,0.10219882316506658,0.6195418144642885,0.6666666666666666,0.18500087305744717,0.606715131529641,1.0
motorbike,overexposure,193.0,5.5607404708862305,10.320356369018555,1.0,0.5420658834681924,0.6666666666666666,0.6331224413844436,0.16253756940788916,1.0,0.7136733633529615,0.1276718055918474,1.0
motorbike,salt_pepper,193.0,10.004125595092773,16.642728805541992,1.0,0.5420658834681924,0.6666666666666666,0.26308529674917985,0.5293697771587744,0.0,0.2521152075752926,0.5709400845587616,1.0
person,motion_blur,125.68181818181819,16.280186653137207,17.351438522338867,1.0,0.5382855849199939,0.8696969696969696,0.11950516829056883,0.4570074132352831,0.8787878787878788,0.1933022737217066,0.4968416730890192,0.8636363636363636
person,overexposure,125.68181818181819,4.838852503082969,12.821044098247182,1.0,0.5382855849199939,0.8696969696969696,0.5237334362905485,0.44525481814023066,0.8469696969696969,0.5646851854243234,0.5448917965638264,0.8712121212121212
person,salt_pepper,125.68181818181819,10.17747863856229,19.056834307583895,1.0,0.5382855849199939,0.8696969696969696,0.2175167740870658,0.4253984140908532,0.9090909090909091,0.2494913182286588,0.5806268819155237,0.9075757575757575
pottedplant,motion_blur,96.0,17.92770767211914,18.841211318969727,1.0,0.4066938809513892,1.0,0.23042092131405073,0.3770429710433119,1.0,0.3032816444284169,0.3862231620039037,1.0
pottedplant,overexposure,96.0,6.864782333374023,10.851310729980469,1.0,0.4066938809513892,1.0,0.6439106991667038,0.437809902926182,1.0,0.667943683555215,0.43097517025110577,1.0
pottedplant,salt_pepper,96.0,12.581099510192871,19.580604553222656,1.0,0.4066938809513892,1.0,0.22879960069877714,0.3845388861828219,1.0,0.2833477844202072,0.4110407803258275,1.0
sofa,motion_blur,85.33333333333333,18.986533482869465,20.055325826009113,1.0,0.5687229214871747,0.8222222222222223,0.1747917551126362,0.5564987675893495,0.16666666666666666,0.25135027587448133,0.5639977922532257,0.16666666666666666
sofa,overexposure,85.33333333333333,5.8327484130859375,12.385825792948404,1.0,0.5687229214871747,0.8222222222222223,0.5577969371066155,0.27975934597791824,0.7222222222222222,0.6083229202661905,0.46244695148466614,0.611111111111111
sofa,salt_pepper,85.33333333333333,11.533121426900228,21.664068857828777,1.0,0.5687229214871747,0.8222222222222223,0.16014642022636807,0.5707812000962644,0.38888888888888884,0.28767865006525256,0.5762617220028879,0.611111111111111
train,motion_blur,163.0,14.82365608215332,15.442094802856445,1.0,0.8179705523137468,1.0,0.08832664682282904,0.8157983533540288,0.0,0.12463558402315239,0.8152113435956231,0.0
train,overexposure,163.0,5.502213478088379,10.803316116333008,1.0,0.8179705523137468,1.0,0.5767692017361766,0.7340825500612995,1.0,0.5825711026159358,0.8698298798677739,1.0
train,salt_pepper,163.0,11.680168151855469,15.598796844482422,1.0,0.8179705523137468,1.0,0.39022981717000693,0.7038297726767357,1.0,0.10415926057589762,0.8035413884601377,1.0
tvmonitor,motion_blur,4.0,18.718568801879883,20.060962677001953,1.0,0.8861388105359342,1.0,0.27654286897694325,0.8982450576170843,1.0,0.3432008650986753,0.8822659057281759,1.0
tvmonitor,overexposure,4.0,6.636359214782715,10.84447956085205,1.0,0.8861388105359342,1.0,0.4952623211446741,0.8152258954263967,1.0,0.5116967111600386,0.802354942455413,1.0
tvmonitor,salt_pepper,4.0,12.017316818237305,21.07304573059082,1.0,0.8861388105359342,1.0,0.17000162680982592,0.9026486797729703,1.0,0.3557800224466891,0.9450936113226374,1.0
