sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
2691,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,1.0,0.800000011920929
2811,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4704,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
847,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,0.800000011920929,0.800000011920929
252,Salt & Pepper L4,salt_pepper,4,0.5,0.5,0.5,0.5
3149,Salt & Pepper L4,salt_pepper,4,1.0,1.0,0.6666666865348816,1.0
2416,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3548,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3626,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.0,1.0
4712,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3431,Salt & Pepper L4,salt_pepper,4,0.5,0.6666666865348816,0.5,0.5
5305,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,1.0,0.6666666865348816
1075,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.0,0.0
100,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2388,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4090,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4574,Salt & Pepper L4,salt_pepper,4,0.5,0.0,0.5,0.5
530,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.75,0.6666666865348816
1402,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
408,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,1.0
573,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.5
2302,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,0.800000011920929
459,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.6666666865348816
2595,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1525,Salt & Pepper L4,salt_pepper,4,0.5,0.5,0.6666666865348816,0.6666666865348816
1019,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,1.0,0.6666666865348816
1263,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1060,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.0
3870,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1449,Salt & Pepper L4,salt_pepper,4,0.6666666865348816,1.0,0.6666666865348816,0.6666666865348816
3856,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4271,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,0.6666666865348816
1092,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1127,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
5131,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
4693,Salt & Pepper L4,salt_pepper,4,0.0,0.0,0.0,0.0
591,Salt & Pepper L4,salt_pepper,4,1.0,0.0,0.6666666865348816,0.6666666865348816
1597,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2450,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,0.0
3705,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
