model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
clean_trained_resnet50,salt_pepper_3,salt_pepper,bus,10.162086435854436,0.8235294117647058,9,8
clean_trained_resnet50,salt_pepper_3,salt_pepper,car,10.162086435854436,0.647887323943662,43,28
clean_trained_resnet50,salt_pepper_3,salt_pepper,cat,10.162086435854436,0.8181818181818182,35,31
clean_trained_resnet50,salt_pepper_3,salt_pepper,chair,10.162086435854436,0.4878048780487805,58,24
clean_trained_resnet50,salt_pepper_3,salt_pepper,cow,10.162086435854436,0.5882352941176471,10,7
clean_trained_resnet50,salt_pepper_3,salt_pepper,diningtable,10.162086435854436,0.27586206896551724,25,4
clean_trained_resnet50,salt_pepper_3,salt_pepper,dog,10.162086435854436,0.8541666666666666,53,43
clean_trained_resnet50,salt_pepper_3,salt_pepper,horse,10.162086435854436,0.64,14,11
clean_trained_resnet50,salt_pepper_3,salt_pepper,motorbike,10.162086435854436,0.8695652173913043,13,10
clean_trained_resnet50,salt_pepper_3,salt_pepper,person,10.162086435854436,0.819672131147541,153,152
clean_trained_resnet50,salt_pepper_3,salt_pepper,pottedplant,10.162086435854436,0.3448275862068966,22,7
clean_trained_resnet50,salt_pepper_3,salt_pepper,sheep,10.162086435854436,0.5714285714285714,8,6
clean_trained_resnet50,salt_pepper_3,salt_pepper,sofa,10.162086435854436,0.2127659574468085,39,8
clean_trained_resnet50,salt_pepper_3,salt_pepper,train,10.162086435854436,0.8888888888888888,14,13
clean_trained_resnet50,salt_pepper_3,salt_pepper,tvmonitor,10.162086435854436,0.5,20,8
fine_tuned_resnet50,salt_pepper_3,salt_pepper,aeroplane,10.162086435854436,0.896551724137931,31,27
fine_tuned_resnet50,salt_pepper_3,salt_pepper,bicycle,10.162086435854436,0.7272727272727273,18,15
fine_tuned_resnet50,salt_pepper_3,salt_pepper,bird,10.162086435854436,0.6486486486486487,16,21
fine_tuned_resnet50,salt_pepper_3,salt_pepper,boat,10.162086435854436,0.8275862068965517,14,15
fine_tuned_resnet50,salt_pepper_3,salt_pepper,bottle,10.162086435854436,0.4927536231884058,28,41
fine_tuned_resnet50,salt_pepper_3,salt_pepper,bus,10.162086435854436,0.7368421052631579,9,10
fine_tuned_resnet50,salt_pepper_3,salt_pepper,car,10.162086435854436,0.7228915662650602,43,40
fine_tuned_resnet50,salt_pepper_3,salt_pepper,cat,10.162086435854436,0.8767123287671232,35,38
fine_tuned_resnet50,salt_pepper_3,salt_pepper,chair,10.162086435854436,0.5217391304347826,58,34
fine_tuned_resnet50,salt_pepper_3,salt_pepper,cow,10.162086435854436,0.8571428571428571,10,11
fine_tuned_resnet50,salt_pepper_3,salt_pepper,diningtable,10.162086435854436,0.46808510638297873,25,22
fine_tuned_resnet50,salt_pepper_3,salt_pepper,dog,10.162086435854436,0.7479674796747967,53,70
fine_tuned_resnet50,salt_pepper_3,salt_pepper,horse,10.162086435854436,0.6,14,16
fine_tuned_resnet50,salt_pepper_3,salt_pepper,motorbike,10.162086435854436,0.8333333333333334,13,11
fine_tuned_resnet50,salt_pepper_3,salt_pepper,person,10.162086435854436,0.8085106382978723,153,129
fine_tuned_resnet50,salt_pepper_3,salt_pepper,pottedplant,10.162086435854436,0.43902439024390244,22,19
fine_tuned_resnet50,salt_pepper_3,salt_pepper,sheep,10.162086435854436,0.56,8,17
fine_tuned_resnet50,salt_pepper_3,salt_pepper,sofa,10.162086435854436,0.42424242424242425,39,27
fine_tuned_resnet50,salt_pepper_3,salt_pepper,train,10.162086435854436,0.8,14,16
fine_tuned_resnet50,salt_pepper_3,salt_pepper,tvmonitor,10.162086435854436,0.5806451612903226,20,11
clean_trained_resnet50,salt_pepper_6,salt_pepper,aeroplane,2.0476383843203076,0.0,31,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,bicycle,2.0476383843203076,0.2857142857142857,18,3
clean_trained_resnet50,salt_pepper_6,salt_pepper,bird,2.0476383843203076,0.2926829268292683,16,25
clean_trained_resnet50,salt_pepper_6,salt_pepper,boat,2.0476383843203076,0.0,14,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,bottle,2.0476383843203076,0.0,28,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,bus,2.0476383843203076,0.0,9,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,car,2.0476383843203076,0.044444444444444446,43,2
clean_trained_resnet50,salt_pepper_6,salt_pepper,cat,2.0476383843203076,0.23809523809523808,35,7
clean_trained_resnet50,salt_pepper_6,salt_pepper,chair,2.0476383843203076,0.0,58,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,cow,2.0476383843203076,0.0,10,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,diningtable,2.0476383843203076,0.0,25,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,dog,2.0476383843203076,0.28125,53,11
clean_trained_resnet50,salt_pepper_6,salt_pepper,horse,2.0476383843203076,0.0,14,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,motorbike,2.0476383843203076,0.14285714285714285,13,1
clean_trained_resnet50,salt_pepper_6,salt_pepper,person,2.0476383843203076,0.4784688995215311,153,56
clean_trained_resnet50,salt_pepper_6,salt_pepper,pottedplant,2.0476383843203076,0.0,22,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,sheep,2.0476383843203076,0.5,8,4
clean_trained_resnet50,salt_pepper_6,salt_pepper,sofa,2.0476383843203076,0.05,39,1
clean_trained_resnet50,salt_pepper_6,salt_pepper,train,2.0476383843203076,0.0,14,0
clean_trained_resnet50,salt_pepper_6,salt_pepper,tvmonitor,2.0476383843203076,0.09523809523809523,20,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,aeroplane,2.0476383843203076,0.0625,31,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,bicycle,2.0476383843203076,0.5,18,6
fine_tuned_resnet50,salt_pepper_6,salt_pepper,bird,2.0476383843203076,0.375,16,16
fine_tuned_resnet50,salt_pepper_6,salt_pepper,boat,2.0476383843203076,0.13333333333333333,14,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,bottle,2.0476383843203076,0.0,28,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,bus,2.0476383843203076,0.0,9,0
fine_tuned_resnet50,salt_pepper_6,salt_pepper,car,2.0476383843203076,0.36363636363636365,43,23
fine_tuned_resnet50,salt_pepper_6,salt_pepper,cat,2.0476383843203076,0.3829787234042553,35,12
fine_tuned_resnet50,salt_pepper_6,salt_pepper,chair,2.0476383843203076,0.14705882352941177,58,10
fine_tuned_resnet50,salt_pepper_6,salt_pepper,cow,2.0476383843203076,0.18181818181818182,10,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,diningtable,2.0476383843203076,0.0,25,0
fine_tuned_resnet50,salt_pepper_6,salt_pepper,dog,2.0476383843203076,0.49612403100775193,53,76
fine_tuned_resnet50,salt_pepper_6,salt_pepper,horse,2.0476383843203076,0.13333333333333333,14,1
fine_tuned_resnet50,salt_pepper_6,salt_pepper,motorbike,2.0476383843203076,0.375,13,3
