target_class,condition,distortion_type,severity_level,severity_label,params,sample_idx,snr,canny_iou_vs_clean,grabcut_iou_gt,dl_f1_score,dl_jaccard_score
cat,motion_blur_L6,motion_blur,6,L6,{'kernel_size': 41},110.2,15.104073905944825,0.06155409736928312,0.6023235326891277,0.2,0.2
cat,overexposure_L1,overexposure,1,L1,"{'factor': 1.1, 'bias': 10}",110.2,16.80354824066162,0.8503692311804676,0.7978122666272986,0.8,0.8
cat,overexposure_L2,overexposure,2,L2,"{'factor': 1.3, 'bias': 20}",110.2,9.462183284759522,0.6836603808359042,0.6628625866514983,0.8,0.8
cat,overexposure_L3,overexposure,3,L3,"{'factor': 1.6, 'bias': 35}",110.2,4.998924493789673,0.49253293615748495,0.6886784012471832,0.6,0.6
cat,overexposure_L4,overexposure,4,L4,"{'factor': 2.0, 'bias': 50}",110.2,2.429050546884537,0.33700080174228614,0.5565125102567067,0.6,0.6
cat,overexposure_L5,overexposure,5,L5,"{'factor': 2.5, 'bias': 75}",110.2,0.6989012837409974,0.2175910622483836,0.4128057156070192,0.4,0.4
cat,overexposure_L6,overexposure,6,L6,"{'factor': 3.2, 'bias': 100}",110.2,-0.1990743637084961,0.13718833254099566,0.2429755278421164,0.4,0.4
cat,salt_pepper_L1,salt_pepper,1,L1,{'amount': 0.005},110.2,21.891962814331055,0.6742313167174623,0.6175400874361019,0.8,0.8
cat,salt_pepper_L2,salt_pepper,2,L2,{'amount': 0.01},110.2,18.826574325561523,0.5258926079880305,0.43615819365475045,0.8,0.8
cat,salt_pepper_L3,salt_pepper,3,L3,{'amount': 0.03},110.2,14.119437980651856,0.2978128142522041,0.37723904154122984,0.7333333333333333,0.7
cat,salt_pepper_L4,salt_pepper,4,L4,{'amount': 0.07},110.2,10.529713439941407,0.17431192222377195,0.3836727585075373,0.6,0.6
cat,salt_pepper_L5,salt_pepper,5,L5,{'amount': 0.15},110.2,7.389243030548096,0.11163267473469722,0.11968397483898566,0.4,0.4
cat,salt_pepper_L6,salt_pepper,6,L6,{'amount': 0.3},110.2,4.70785927772522,0.08512139725192616,0.23170091583848232,0.4,0.4
chair,clean,clean,0,Clean,{},29.0,inf,1.0,0.872006692460525,0.5,0.3333333333333333
chair,motion_blur_L1,motion_blur,1,L1,{'kernel_size': 3},29.0,25.592239379882812,0.65719132011464,0.9429001694170798,0.5,0.3333333333333333
chair,motion_blur_L2,motion_blur,2,L2,{'kernel_size': 7},29.0,21.42774772644043,0.31933773401147064,0.9697335302560689,0.6666666666666666,0.5
